iter	Passed	Remaining
401	43575	64820
402	43626	64628
403	43692	64456
404	43743	64265
405	43823	64116
406	43917	63987
407	44030	63887
408	44102	63727
409	44166	63557
410	44223	63376
411	44293	63215
412	44420	63134
413	44532	63033
414	44611	62886
415	44696	62746
416	44773	62596
417	44845	62440
418	44913	62279
419	44970	62101
420	45032	61932
421	4509423	4509422	45208	61667
423	45321	61568
424	45447	61487
425	45534	61353
426	45642	61248
427	45703	61080
428	45765	60914
429	4581431	4581430	4587432	4595431	4597433	46094	60113
434	46237	60056
435	46367	59979
436	4645435	4650437	4656436	4661438	4666437	4670439	4674438	4680440	4684439	4689441	4695440	4698442	4703441	4710443	4712442	4723444	4724443	47368	59317
444	47474	59209
445	47570	59089
446	47706	59019
447	47784	58877
448	47900	58782
449	48006	58674
450	48098	58550
451	48199	58436
452	4822454	4821453	4828455	4830454	4835456	4837455	4841457	4845456	4852458	4856457	4862459	48693	57162
460	48801	57058
461	48870	56909
462	48961	56786
463	49035	56644
464	49110	56503
465	49182	56359
466	49263	56225
467	49360	56110
468	49462	56001
469	4954468	4956470	4962469	4968471	4969470	49815	55949
471	49898	55818
472	49972	55677
473	50060	55552
474	50133	55410
475	50206	55268
476	50321	55174
477	50402	55042
478	50513	54942
479	50579	54794
480	50631	54631
481	50676	54461
482	50782	54356
483	50873	54237
484	50966	54118
485	51059	54001
486	51144	53875
487	51229	53749
488	51310	53618
489	51418	53517
490	51489	53377
491	51601	53279
492	51668	53136
493	51764	53022
494	51831	52878
495	51919	52757
496	52070	52698
497	52161	52580
498	52278	52488
499	52377	52377
500	52495	52285
501	52832	52411
502	52916	52284
503	53057	52214
504	53184	52131
505	53283	52019
506	53350	51877
507	53450	51767
508	53524	51631
509	53594	51493
510	53646	51336
511	53726	51208
512	53829	51101
513	53941	51002
514	54104	50953
515	54196	50835
516	54295	50724
517	54409	50628
518	54512	50521
519	54623	50421
520	54732	50320
521	54835	50213
522	54922	50092
523	54994	49957
524	55084	49838
525	55181	49726
526	55270	49607
527	55402	49526
528	55520	49433
529	55630	49332
530	55714	49209
531	55810	49096
532	55877	48958
533	55925	48804
534	56027	48697
535	56147	48605
536	56239	48489
537	56346	48386
538	56416	48252
539	56526	48152
540	56594	48016
541	56697	47910
542	56804	47807
543	56895	47692
544	57007	47593
545	57075	47458
546	57185	47358
547	57291	47254
548	57424	47173
549	57532	47072
550	57631	46962
551	57734	46857
552	57846	46758
553	57921	46629
554	57991	46497
555	58087	46386
556	58206	46293
557	58254	46144
558	58369	46048
559	58460	45933
560	58522	45795
561	58586	45659
562	58661	45533
563	58781	45440
564	58847	45307
565	58965	45213
566	59118	45147
567	59227	45046
568	59276	44899
569	59358	44779
570	59443	44660
571	59528	44542
572	59617	44426
573	59738	44335
574	59822	44216
575	59930	44115
576	60022	44002
577	60139	43907
578	60207	43777
579	60301	43666
580	60371	43538
581	60453	43418
582	6049582	6043583	6058583	6055584	6064584	60622	43005
585	60695	42880
586	60781	42764
587	60873	42653
588	60994	42561
589	61090	42452
590	61206	42357
591	61305	42251
592	61446	42173
593	61566	42080
594	61632	41951
595	61711	41831
596	61842	41746
597	61986	41669
598	62090	41566
599	62195	41463
600	62316	41371
601	62413	41263
602	62523	41163
603	62622	41056
604	62716	40947
605	62805	40834
606	62866	40702
607	62968	40597
608	63053	40482
609	63108	40348
610	63181	40225
611	63284	40121
612	63406	40029
613	63505	39923
614	63604	39817
615	63754	39742
616	63833	39624
617	63912	39506
618	63983	39382
619	64050	39257
620	64158	39156
621	64237	39038
622	64322	38923
623	64450	38835
624	64588	38753
625	64731	38673
626	64882	38598
627	65050	38532
628	65166	38436
629	65232	38311
630	65306	38190
631	65396	38078
632	65485	37966
633	65567	37851
634	65659	37741
635	65764	37638
636	65855	37528
637	65973	37433
638	66034	37305
639	66153	37211
640	66318	37142
641	66440	37049
642	66585	36968
643	66679	36860
644	66784	36757
645	66925	36674
646	67062	36589
647	67169	36487
648	67279	36386
649	67376	36279
650	67447	36158
651	67516	36036
652	67630	35938
653	67713	35823
654	67826	35725
655	67943	35629
656	68001	35501
657	68055	35372
658	68111	35244
659	68240	35154
660	68371	35064
661	68481	34964
662	68594	34866
663	68690	34759
664	68768	34642
665	68837	34522
666	68943	34419
667	69063	34325
668	69196	34236
669	69336	34150
670	69491	34072
671	69608	33975
672	69707	33869
673	69834	33777
674	69963	33685
675	70094	33595
676	70239	33511
677	70321	33397
678	70413	33288
679	70538	33194
680	70619	33080
681	70717	32973
682	70823	32871
683	70920	32764
684	71017	32657
685	71117	32552
686	71221	32448
687	71326	32345
688	71432	32243
689	71525	32134
690	71643	32037
691	71760	31939
692	71860	31834
693	71913	31708
694	71969	31583
695	72055	31472
696	72154	31366
697	72238	31255
698	72339	31150
699	72431	31042
700	72544	30942
701	72639	30835
702	72821	30765
703	72998	30692
704	73059	30570
705	73092	30438
706	73192	30332
707	73283	30224
708	73374	30115
