iter	MultiClass
351	0.6052245791
352	0.6050512305
353	0.6048170735
354	0.6047164901
355	0.6045139958
356	0.6043162079
357	0.6041670355
358	0.6039189914
359	0.6036473416
360	0.6034068689
361	0.6032073316
362	0.6030632512
363	0.6029413393
364	0.6027623658
365	0.6025831847
366	0.602343564
367	0.602137646
368	0.6020504282
369	0.6018739321
370	0.6017843288
371	0.6015771503
372	0.6013640799
373	0.6012336358
374	0.6010262414
375	0.6009028419
376	0.6006529697
377	0.6005114391
378	0.6004306667
379	0.600248852
380	0.5999781453
381	0.5997426952
382	0.5995214908
383	0.5993340741
384	0.5992397024
385	0.599101425
386	0.5989180148
387	0.5987302965
388	0.5984703846
389	0.5982446874
390	0.5980148712
391	0.5978642209
392	0.5977721442
393	0.5976201618
394	0.5974957114
395	0.5973692145
396	0.5972210197
397	0.5970321679
398	0.5968248183
399	0.5966731394
400	0.5965819939
401	0.5964249526
402	0.5963245616
403	0.5961648787
404	0.596065039
405	0.5959654368
406	0.5958026738
407	0.5956244668
408	0.5953656498
409	0.5952396135
410	0.5949643329
411	0.5948151697
412	0.5946600047
413	0.5944693108
414	0.5943332358
415	0.5941965877
416	0.5940502159
417	0.5938997047
418	0.5937697181
419	0.5936570887
420	0.5935100714
421	0.5933084565
422	0.593085831
423	0.5929595749
424	0.5927867539
425	0.5924712306
426	0.5921893929
427	0.5920783
428	0.5918539184
429	0.5918024722
430	0.5916924328
431	0.5916002502
432	0.591448779
433	0.5912309125
434	0.5909942249
435	0.590858979
436	0.5907199434
437	0.5906162423
438	0.5904511414
439	0.5903377749
440	0.5901978967
441	0.5900149267
442	0.589915712
443	0.5897242772
444	0.5896759803
445	0.5895712638
446	0.5893003903
447	0.5891512207
448	0.5889454892
449	0.5887259297
450	0.5886196206
451	0.5884292616
452	0.5883470521
453	0.5882380078
454	0.5880805585
455	0.5879315212
456	0.5877386446
457	0.5875590399
458	0.5874626799
459	0.5873804647
460	0.5872108814
461	0.5870601974
462	0.5869062706
463	0.5866236231
464	0.586354552
465	0.5861511882
466	0.5860087465
467	0.5859329025
468	0.5858812424
469	0.5857353669
470	0.5856022444
471	0.5854436938
472	0.5853195994
473	0.5850766431
474	0.5848949937
475	0.5846974465
476	0.5846124159
477	0.5844968204
478	0.5843321093
479	0.5841947708
480	0.5839870724
481	0.5838578449
482	0.5836121509
483	0.5834123238
484	0.583198938
485	0.583015255
486	0.5828689149
487	0.5826860303
488	0.5825596876
489	0.5823787312
490	0.5822406083
491	0.5821124565
492	0.5819967027
493	0.5818463708
494	0.5817116693
495	0.5815430045
496	0.5813924492
497	0.5812673284
498	0.5810528342
499	0.5809735678
500	0.5807839713
501	0.5805374167
502	0.5804481135
503	0.5802895303
504	0.5801211069
505	0.5799980902
506	0.5799056637
507	0.5797557756
508	0.5796207625
509	0.5792261119
510	0.5790831755
511	0.5790254529
512	0.5788333682
513	0.5787047755
514	0.5785810622
515	0.5784769397
516	0.578402895
517	0.5782781859
518	0.578197
519	0.5780778151
520	0.5779919356
521	0.5779210428
522	0.5777890255
523	0.5776896032
524	0.5775359673
525	0.5771729389
526	0.5770296317
527	0.5769068986
528	0.5767331699
529	0.5766072637
530	0.5764561003
531	0.5762322703
532	0.5760741542
533	0.575898481
534	0.5758134126
535	0.5755808542
536	0.5754895038
537	0.5753586749
538	0.5752592446
539	0.5750975618
540	0.5749006178
541	0.5747734102
542	0.5745050243
543	0.5742976823
544	0.5741082247
545	0.5740060095
546	0.5739032027
547	0.5736712252
548	0.5735389533
549	0.573264877
550	0.5731641762
551	0.5730362856
552	0.5727519349
553	0.57258593
554	0.5724987317
555	0.5723454743
556	0.5721607824
557	0.5719223316
558	0.5718630245
559	0.5716003816
560	0.5715147592
561	0.5713839966
562	0.5711739769
563	0.5709800781
564	0.5708658472
565	0.5708231469
566	0.5706392505
567	0.5705140144
568	0.5703122518
569	0.5700588639
570	0.5699600156
571	0.5698682994
572	0.5696363143
573	0.5694003929
574	0.56923664
575	0.5691126967
576	0.5690674962
577	0.5689214035
578	0.5687616619
579	0.568673408
580	0.5686388612
581	0.5685060507
582	0.568422582	0583	0.568242583	0584	0.568100584	0.5672795096
585	0.5671561018
586	0.5669317339
587	0.566818935
588	0.566739629
589	0.5666384929
590	0.5664950568
591	0.5663974243
592	0.5662914395
593	0.566073478
594	0.565954519
595	0.5657174434
596	0.5656402023
597	0.5654612129
598	0.5653388207
599	0.5651553114
600	0.5650533135
601	0.5648287912
602	0.5646354126
603	0.5644272631
604	0.5643742482
605	0.5642634091
606	0.5640467179
607	0.563968177
608	0.5637926514
609	0.5636933057
610	0.563614358
611	0.563493556
612	0.5634239365
613	0.5633163687
614	0.563152923
615	0.5630341624
616	0.5629344811
617	0.5628455539
618	0.5627203376
619	0.5626156985
620	0.562443744
621	0.5623512822
622	0.5621926102
623	0.5620060181
624	0.5618552343
625	0.5617846064
626	0.5617035429
627	0.5615828997
628	0.5614736772
629	0.5613054511
630	0.5611357033
631	0.5610543713
632	0.560788981
633	0.5606735148
634	0.5604692009
635	0.5603152412
636	0.5601626635
637	0.5599548585
638	0.5598606311
639	0.5597260407
640	0.5596227247
641	0.5594715754
642	0.5593366678
643	0.5591882752
644	0.5590189085
645	0.5588424392
646	0.5586574583
647	0.5583523408
648	0.558186149
649	0.5579262447
650	0.5578451476
651	0.5578053931
652	0.5575679693
653	0.5573383419
654	0.5570669943
655	0.5569373047
656	0.5567920904
657	0.5566525454
658	0.5565119592
659	0.5564409783
660	0.5562306741
661	0.5560459242
662	0.5559231988
663	0.5557538602
664	0.5556586694
665	0.5555673514
666	0.5554587969
667	0.5552629629
668	0.5551277298
669	0.5550451921
670	0.554784928
671	0.5546158835
672	0.5544960806
673	0.5543978779
674	0.5541809247
675	0.5540222456
676	0.5539089031
677	0.5537981138
678	0.5537425363
679	0.5535805817
680	0.5534779398
681	0.5534231383
682	0.5532470028
683	0.5531077962
684	0.5529601432
685	0.552822273
686	0.552704351
687	0.5525659139
688	0.5524743016
689	0.5524062
690	0.5522023331
691	0.5520209349
692	0.5518691175
693	0.551781144
694	0.5516597786
695	0.5514793753
696	0.5512642402
697	0.5510754055
698	0.550937845
699	0.5508851897
700	0.5507771301
701	0.550677774
702	0.5505833889
703	0.5504526626
704	0.5502959732
705	0.5502223142
706	0.5501117867
707	0.549974162
708	0.5497797917
709	0.5496432616
710	0.5494348905
711	0.549311677
712	0.5492010616
713	0.5491061158
714	0.5490258336
715	0.5488723563
716	0.5486474179
717	0.5485525163
718	0.5484530426
719	0.5483463376
720	0.5482084268
721	0.5481330054
722	0.5480357125
723	0.547906881
724	0.5477291294
725	0.5476111961
726	0.5474865206
727	0.547371757
728	0.547270309
729	0.547125737
730	0.5469807715
731	0.5467783035
732	0.546626598
733	0.546519691
734	0.5464065194
735	0.5461265916
736	0.5460159691
737	0.545822556
738	0.5455977643
739	0.545418827
740	0.5452992117
741	0.5451878255
742	0.5450864531
743	0.5449609238
744	0.544933909
745	0.5447603719
746	0.5446210342
747	0.5445547476
748	0.5444401618
749	0.5442445134
750	0.5440335653
751	0.5438688039
752	0.5437979842
753	0.5437167978
754	0.543564194
755	0.5433088338
756	0.5431148125
757	0.5430045248
758	0.5429427815
759	0.5428409715
760	0.5427773309
761	0.5426972585
762	0.5426226874
763	0.5424737746
764	0.5424064305
765	0.5423539582
766	0.5422781993
767	0.5421872203
768	0.5420268111
769	0.5419991338
770	0.5418551396
771	0.5417736726
772	0.5417178874
773	0.54160885774774	0.5414516378
775	0.5413519607
776	0.5412740597
777	0.54114937778778	0.54106182779779	0.54091877780	0.5409873855
781781	0.54063155782782	0.54053855783	0.5403689556
784	0.5400904207
785	0.5400360978
786	0.5399020713
787	0.5397628751
788	0.5395995385
789	0.5394515579
790	0.5393414037
791	0.5392565465
792	0.5391606442
793	0.5389531696
794	0.5387486943
795	0.5386511939
796	0.5385761341
797	0.5383723047
798	0.5382864867
799	0.5380745138
800	0.5379606423
801	0.5378590235
80802	0.53861642803	0.5375290705
80804	0.53828947480805	0.5382246459
806	0.5381505179
807	0.5380289911
808	0.537912337
809	0.5378073541
810	0.5376116267
811	0.5375451557
812	0.537445423
813	0.5372050244
814	0.5370436354
815	0.5368980963
816	0.5368162137
817	0.5366640862
818	0.5366022973
819	0.5364819944
820	0.5363854037
821	0.536278683
822	0.5361228182
823	0.5359424189
824	0.5358391002
825	0.5357549076
826	0.5356615211
827	0.5354615176
828	0.5353634836
829	0.5352699204
830	0.5351644378
831	0.5350747966
832	0.5349642326
833	0.5348790206
834	0.5347982961
835	0.5346560662
836	0.5344250995
837	0.5342996045
838	0.5341176429
839	0.5340260864
840	0.533917303
841	0.5338044526
842	0.5336787576
843	0.5336009195
844	0.5334912441
845	0.5333488295
846	0.5332355717
847	0.533061416
848	0.5329624793
849	0.5328343429
850	0.5327297118
851	0.5326324181
852	0.532486108
853	0.5323556002
854	0.5322446654
855	0.5321543851
856	0.5320276284
857	0.5318754388
858	0.531723823
859	0.5316485703
860	0.5315711046
861	0.5314035958
862	0.5313276867
863	0.5312196561
864	0.5310685385
865	0.5309409909
866	0.5308159802
867	0.5307240797
868	0.5306253366
869	0.530535795
870	0.5304524605
871	0.5303292016
872	0.5301143567
873	0.529961776
874	0.5298495197
875	0.5297366498
876	0.5295725273
877	0.5294938692
878	0.5293602345
879	0.5292696611
880	0.5291218017
881	0.5290363627
882	0.5289132849
883	0.5287943155
884	0.5286830659
885	0.5286424704
886	0.5285232119
887	0.5283770855
888	0.5283301322
889	0.5282605707
890	0.5280854066
891	0.5280096397
892	0.5278251393
893	0.5277380541
894	0.5276077578
895	0.5275074295
896	0.5274233427
897	0.5273302195
898	0.5271998516
899	0.5270997247
900	0.526891365
901	0.526786637
902	0.5267115695
903	0.5266021127
904	0.5265288157
905	0.5263155748
906	0.5261874937
907	0.5260411132
908	0.5258529468
909	0.5257456642
910	0.5256270399
911	0.5255030222
912	0.525332413
913	0.5251431958
914	0.5249581885
915	0.5248824745
916	0.5248101181
917	0.5246190697
918	0.5244393213
919	0.5243880434
920	0.5243371064
921	0.5242377096
922	0.5240900739
923	0.5239113558
924	0.5238444372
925	0.5237674039
926	0.5235889588
927	0.5235024474
928	0.5234005339
929	0.5233303556
930	0.5232511381
931	0.5231500509
932	0.5230740705
933	0.5229903374
934	0.5228361707
935	0.5227394713
936	0.5225837943
937	0.5225061812
938	0.5223639809
939	0.5222126502
940	0.5221264943
941	0.5220578493
942	0.5218837662
943	0.5217619921
944	0.5216841291
945	0.5216396276
946	0.5215617781
947	0.5214748936
948	0.5213663945
949	0.5212782538
950	0.521217783
951	0.5210440953
952	0.5208850214
953	0.5207325775
954	0.5206453097
955	0.5205667291
956	0.5204584166
957	0.5203861925
958	0.5201861261
959	0.5200357808
960	0.519986482
961	0.519857126
962	0.5197257975
963	0.5195767931
964	0.5194450689
965	0.5192547584
966	0.5190981344
967	0.5189233484
968	0.5188248935
969	0.5187623135
970	0.5186709157
971	0.5185042623
972	0.5183817098
973	0.5182948923
974	0.5181865178
975	0.5180831416
976	0.5179775189
977	0.5178518405
978	0.5177663785
979	0.5177128158
980	0.5175844324
981	0.5174779631
982	0.5173780299
983	0.5172657707
984	0.5171678203
985	0.5171217618
986	0.5170263334
987	0.5169301277
988	0.516876256
989	0.5167184869
990	0.5165713822
991	0.5165078821
992	0.5164057542
993	0.5163279989
994	0.5161748571
995	0.5160749404
996	0.5159836295
997	0.5159146231
998	0.5158234429
999	0.5157590937
8
999	0.5160858344
5162859531
